n1,n2,weight
22541,20955,-1.0
22542,20955,-1.0
22543,20955,-1.0
22544,20955,-1.0
34487,34423,-1.0
26271,24566,1.0
14615,12040,-1.0
16699,15259,1.0
16700,15259,-1.0
16701,15259,-1.0
25884,24329,-1.0
6666,2887,1.0
6667,2887,1.0
6668,2887,-1.0
6669,2887,-1.0
6670,2887,-1.0
29203,29204,-1.0
3887,1392,1.0
3888,1392,1.0
3889,1392,1.0
3890,1392,-1.0
2465,571,1.0
2466,571,1.0
2467,571,-1.0
2468,571,-1.0
26442,24817,-1.0
11562,7659,-1.0
11811,8078,1.0
11812,8078,1.0
11813,8078,-1.0
11814,8078,-1.0
16229,14335,-1.0
30361,29612,1.0
19537,18106,-1.0
19538,18106,-1.0
7893,4150,1.0
24871,23291,1.0
24878,23291,-1.0
20053,18465,1.0
20054,18465,-1.0
20055,18465,-1.0
19633,18150,1.0
19634,18150,-1.0
19635,18150,-1.0
19636,18150,-1.0
19637,18150,-1.0
19638,18150,-1.0
11668,7807,-1.0
14345,11449,1.0
14346,11449,1.0
14347,11449,1.0
14348,11449,1.0
19514,18087,1.0
33852,33396,1.0
15342,13080,1.0
15343,13080,1.0
15344,13080,-1.0
33829,33326,-1.0
33726,33326,-1.0
28507,30124,1.0
17123,17787,-1.0
11581,7701,1.0
11582,7701,1.0
18977,17872,1.0
18978,17872,1.0
17883,17872,-1.0
18979,17872,-1.0
18980,17872,-1.0
18981,17872,-1.0
18982,17872,-1.0
18983,17872,-1.0
18984,17872,-1.0
18985,17872,-1.0
18986,17872,-1.0
18987,17872,-1.0
27050,25731,1.0
27051,25731,-1.0
27052,25731,-1.0
27053,25731,-1.0
27915,26390,-1.0
32508,32133,-1.0
21938,20401,-1.0
20399,20401,-1.0
22784,21200,1.0
22785,21200,1.0
22786,21200,1.0
22787,21200,-1.0
22788,21200,-1.0
22789,21200,-1.0
22790,21200,-1.0
28989,27813,-1.0
28990,27813,-1.0
28991,27813,-1.0
28558,27407,1.0
28559,27407,-1.0
18824,17609,-1.0
32144,31764,-1.0
28769,29618,-1.0
3773,1281,1.0
7059,3136,1.0
7060,3136,1.0
7061,3136,-1.0
22929,21269,1.0
22930,21269,1.0
22931,21269,1.0
22932,21269,1.0
22933,21269,1.0
22934,21269,1.0
22935,21269,-1.0
22936,21269,-1.0
22937,21269,-1.0
22938,21269,-1.0
22939,21269,-1.0
13308,13305,1.0
27315,26015,-1.0
27547,26015,-1.0
27548,26015,-1.0
27549,26015,-1.0
20670,19080,1.0
20671,19080,1.0
20672,19080,-1.0
20673,19080,-1.0
20674,19080,-1.0
33509,33195,1.0
33489,33195,1.0
33550,33195,1.0
33261,33195,1.0
33260,33195,1.0
33227,33195,1.0
20473,18974,1.0
23405,21798,1.0
23406,21798,-1.0
23407,21798,-1.0
210,217,-1.0
211,217,-1.0
1299,217,-1.0
16877,15575,-1.0
9835,5964,-1.0
9836,5964,-1.0
14707,12185,1.0
14737,12185,-1.0
14738,12185,-1.0
14739,12185,-1.0
8803,5191,-1.0
8804,5191,-1.0
32062,31449,-1.0
34426,34392,-1.0
20038,18453,1.0
19845,18250,1.0
19846,18250,-1.0
12107,8392,1.0
12108,8392,1.0
12073,8392,1.0
12109,8392,1.0
28772,27614,1.0
28773,27614,1.0
28774,27614,-1.0
28775,27614,-1.0
28776,27614,-1.0
2945,698,-1.0
20190,18610,1.0
20191,18610,-1.0
20057,18467,1.0
20058,18467,1.0
20059,18467,-1.0
16465,14834,-1.0
32389,32154,1.0
32440,32154,-1.0
11823,8095,-1.0
12025,8305,1.0
21833,20301,-1.0
27512,27509,-1.0
3786,1299,1.0
3787,1299,1.0
1276,1299,1.0
3788,1299,-1.0
13328,9703,-1.0
8291,4687,1.0
8292,4687,1.0
8293,4687,-1.0
8294,4687,-1.0
8295,4687,-1.0
8296,4687,-1.0
8297,4687,-1.0
1926,1908,1.0
26102,24446,1.0
26103,24446,1.0
26104,24446,1.0
26105,24446,1.0
26106,24446,1.0
26107,24446,1.0
26108,24446,-1.0
26109,24446,-1.0
26110,24446,-1.0
26111,24446,-1.0
26112,24446,-1.0
18452,21766,1.0
24966,23340,1.0
24967,23340,-1.0
24968,23340,-1.0
23345,23340,-1.0
24969,23340,-1.0
24970,23340,-1.0
8149,4521,1.0
5287,2295,-1.0
31722,31055,1.0
5974,2568,-1.0
5975,2568,-1.0
25687,24175,1.0
25688,24175,-1.0
27102,25763,1.0
27103,25763,-1.0
27104,25763,-1.0
27105,25763,-1.0
28383,27193,1.0
28384,27193,-1.0
28385,27193,-1.0
9864,5997,1.0
26788,25303,1.0
7499,3550,-1.0
21813,20270,1.0
15889,17005,1.0
17439,16199,-1.0
15103,12627,1.0
15104,12627,-1.0
8971,5307,1.0
8972,5307,1.0
8973,5307,1.0
8974,5307,-1.0
7951,4262,1.0
7952,4262,-1.0
28593,27464,-1.0
28594,27464,-1.0
31986,31316,-1.0
31758,31316,-1.0
27868,26301,1.0
27869,26301,1.0
27870,26301,-1.0
14094,10876,1.0
14095,10876,1.0
19979,18412,1.0
19980,18412,1.0
19981,18412,1.0
19982,18412,1.0
19983,18412,-1.0
1940,4570,1.0
8187,4570,1.0
8188,4570,1.0
8189,4570,-1.0
8190,4570,-1.0
8191,4570,-1.0
28263,27068,-1.0
15942,13769,-1.0
31992,31067,1.0
32086,31067,-1.0
28464,27302,-1.0
17873,19034,1.0
20575,19034,-1.0
20576,19034,-1.0
26502,24892,-1.0
29904,29070,1.0
7359,3378,-1.0
31278,30581,1.0
31279,30581,1.0
31280,30581,-1.0
31281,30581,-1.0
34349,33813,-1.0
31999,31060,1.0
33472,33476,-1.0
33713,33476,-1.0
33781,33476,-1.0
6519,2866,1.0
6584,2866,-1.0
23863,22162,1.0
23864,22162,-1.0
9182,5499,-1.0
14934,12471,1.0
14935,12471,1.0
14936,12471,-1.0
14937,12471,-1.0
14938,12471,-1.0
14939,12471,-1.0
34,10,1.0
35,10,1.0
36,10,1.0
37,10,1.0
38,10,1.0
39,10,1.0
40,10,-1.0
41,10,-1.0
42,10,-1.0
43,10,-1.0
44,10,-1.0
14560,11900,-1.0
19247,17963,1.0
19248,17963,1.0
19249,17963,1.0
19250,17963,-1.0
20208,18623,1.0
29334,28375,-1.0
22872,21234,1.0
22873,21234,1.0
16930,15691,1.0
21573,19857,-1.0
21574,19857,-1.0
21575,19857,-1.0
25094,23480,1.0
25095,23480,-1.0
12926,9303,-1.0
22470,20887,1.0
22471,20887,-1.0
24815,23270,-1.0
24816,23270,-1.0
24817,23270,-1.0
21936,20399,1.0
1694,400,1.0
1695,400,1.0
1696,400,-1.0
33346,32938,1.0
33327,32938,-1.0
14475,11781,-1.0
16872,15571,1.0
16873,15571,1.0
16874,15571,1.0
16875,15571,-1.0
19684,18176,1.0
19685,18176,1.0
19686,18176,1.0
19687,18176,1.0
18180,18176,-1.0
19688,18176,-1.0
19689,18176,-1.0
19690,18176,-1.0
19691,18176,-1.0
10252,6347,1.0
22914,21266,1.0
22915,21266,1.0
29818,28966,1.0
29819,28966,-1.0
396,146,1.0
397,146,1.0
398,146,1.0
399,146,-1.0
400,146,-1.0
401,146,-1.0
402,146,-1.0
403,146,-1.0
20713,19117,-1.0
12750,9019,-1.0
21246,19580,1.0
21247,19580,1.0
21248,19580,-1.0
6743,2913,1.0
6744,2913,1.0
6745,2913,1.0
6746,2913,1.0
6747,2913,1.0
6748,2913,1.0
6749,2913,1.0
6750,2913,1.0
6751,2913,1.0
6752,2913,1.0
6753,2913,-1.0
6754,2913,-1.0
20815,19192,1.0
20816,19192,-1.0
22601,21066,-1.0
22602,21066,-1.0
22603,21066,-1.0
2206,528,1.0
2207,528,1.0
2208,528,1.0
2209,528,1.0
2210,528,1.0
2211,528,1.0
2212,528,1.0
2213,528,1.0
2214,528,1.0
2215,528,1.0
2216,528,1.0
2217,528,1.0
2218,528,-1.0
2219,528,-1.0
2220,528,-1.0
2221,528,-1.0
2222,528,-1.0
2223,528,-1.0
2224,528,-1.0
2225,528,-1.0
2226,528,-1.0
2227,528,-1.0
2228,528,-1.0
2229,528,-1.0
2230,528,-1.0
2231,528,-1.0
26193,24508,1.0
26194,24508,-1.0
26195,24508,-1.0
30447,29752,-1.0
30448,29752,-1.0
30449,29752,-1.0
11483,7513,-1.0
33807,32839,1.0
30975,30282,1.0
30976,30282,1.0
30977,30282,1.0
29683,28831,1.0
29854,28981,1.0
29855,28981,-1.0
29856,28981,-1.0
9261,5588,-1.0
11019,6880,1.0
11020,6880,1.0
11021,6880,-1.0
27070,25745,1.0
27071,25745,-1.0
3434,870,1.0
3435,870,-1.0
3436,870,-1.0
15450,16795,-1.0
28362,27180,1.0
28363,27180,1.0
28364,27180,1.0
28365,27180,1.0
28366,27180,1.0
28367,27180,-1.0
28368,27180,-1.0
28369,27180,-1.0
28370,27180,-1.0
28371,27180,-1.0
28372,27180,-1.0
30165,29440,-1.0
26780,25290,-1.0
16721,15309,-1.0
16722,15309,-1.0
14994,12559,1.0
14995,12559,1.0
14996,12559,1.0
18170,18166,-1.0
25495,23882,1.0
25496,23882,-1.0
33832,33457,1.0
10373,6426,1.0
10374,6426,1.0
10375,6426,-1.0
10376,6426,-1.0
10475,6497,-1.0
26763,25281,1.0
26764,25281,1.0
25304,25281,1.0
26765,25281,-1.0
26766,25281,-1.0
32176,31984,1.0
25947,24355,-1.0
25948,24355,-1.0
25949,24355,-1.0
25950,24355,-1.0
25951,24355,-1.0
25952,24355,-1.0
25953,24355,-1.0
25954,24355,-1.0
25955,24355,-1.0
24700,23089,-1.0
17818,17126,-1.0
17819,17126,-1.0
17820,17126,-1.0
17821,17126,-1.0
17822,17126,-1.0
17823,17126,-1.0
28028,26633,1.0
28029,26633,1.0
25589,24070,-1.0
25590,24070,-1.0
25591,24070,-1.0
14304,11335,-1.0
14305,11335,-1.0
14306,11335,-1.0
7793,3973,1.0
7794,3973,1.0
7795,3973,-1.0
34248,33806,-1.0
22580,21034,-1.0
17536,16514,-1.0
17537,16514,-1.0
17542,16532,1.0
21744,20195,-1.0
27564,26039,-1.0
13788,10357,1.0
13789,10357,-1.0
13790,10357,-1.0
13791,10357,-1.0
13792,10357,-1.0
13793,10357,-1.0
13794,10357,-1.0
13795,10357,-1.0
13796,10357,-1.0
20749,19153,1.0
20750,19153,1.0
20751,19153,1.0
20752,19153,1.0
20753,19153,1.0
20754,19153,1.0
20755,19153,-1.0
20756,19153,-1.0
20757,19153,-1.0
20758,19153,-1.0
20759,19153,-1.0
20760,19153,-1.0
16634,15118,1.0
19105,17895,-1.0
19106,17895,-1.0
19107,17895,-1.0
26462,24840,1.0
24826,24840,1.0
26463,24840,1.0
26464,24840,-1.0
26465,24840,-1.0
26466,24840,-1.0
26467,24840,-1.0
26468,24840,-1.0
14428,11671,1.0
11036,6910,-1.0
22123,20531,1.0
22124,20531,1.0
22125,20531,-1.0
22126,20531,-1.0
22127,20531,-1.0
22128,20531,-1.0
22129,20531,-1.0
1647,1609,1.0
172,179,-1.0
7672,11566,-1.0
11374,14306,-1.0
12106,8391,-1.0
11055,6952,-1.0
11056,6952,-1.0
7008,6952,-1.0
13491,9802,1.0
13492,9802,1.0
13493,9802,1.0
13494,9802,1.0
13495,9802,1.0
13496,9802,-1.0
13497,9802,-1.0
13498,9802,-1.0
13499,9802,-1.0
20097,18501,-1.0
20098,18501,-1.0
20099,18501,-1.0
20077,18484,1.0
20078,18484,1.0
567,32,1.0
568,32,1.0
512,32,1.0
511,32,1.0
554,32,1.0
569,32,-1.0
4128,1620,1.0
7680,3821,-1.0
5524,2290,1.0
5525,2290,1.0
5526,2290,1.0
5527,2290,-1.0
5528,2290,-1.0
5529,2290,-1.0
5530,2290,-1.0
5531,2290,-1.0
5532,2290,-1.0
5533,2290,-1.0
5534,2290,-1.0
5535,2290,-1.0
5536,2290,-1.0
18684,17391,1.0
18685,17391,1.0
18686,17391,1.0
18687,17391,1.0
18688,17391,-1.0
34494,34447,-1.0
17929,17171,-1.0
32254,31990,1.0
32276,31990,1.0
32157,31990,1.0
6481,2838,1.0
6482,2838,1.0
6483,2838,1.0
6484,2838,1.0
6485,2838,1.0
13767,10338,1.0
13768,10338,1.0
27824,26225,-1.0
14083,10870,1.0
14084,10870,1.0
14733,12178,1.0
29068,27962,-1.0
232,113,1.0
233,113,1.0
234,113,1.0
235,113,1.0
236,113,1.0
237,113,1.0
238,113,1.0
239,113,-1.0
240,113,-1.0
193,113,-1.0
241,113,-1.0
27952,26466,1.0
28886,27686,-1.0
13657,13656,-1.0
23881,22181,-1.0
23882,22181,-1.0
23883,22181,-1.0
29752,29750,1.0
30434,29750,1.0
30435,29750,1.0
30436,29750,-1.0
30437,29750,-1.0
30438,29750,-1.0
30439,29750,-1.0
30440,29750,-1.0
30441,29750,-1.0
30442,29750,-1.0
30443,29750,-1.0
30444,29750,-1.0
30445,29750,-1.0
30446,29750,-1.0
28998,27820,1.0
28999,27820,1.0
14862,12345,-1.0
14863,12345,-1.0
22640,21123,-1.0
20633,19053,1.0
20634,19053,-1.0
14278,11283,1.0
9291,5621,1.0
9292,5621,1.0
11667,7804,-1.0
23057,21364,-1.0
27691,26108,1.0
18413,18356,-1.0
18358,18356,-1.0
15724,9994,1.0
12432,8768,-1.0
12433,8768,-1.0
33103,32669,1.0
33194,32669,1.0
31619,30898,-1.0
26702,25179,-1.0
26703,25179,-1.0
26704,25179,-1.0
33540,33203,-1.0
8832,5203,1.0
571,5203,1.0
8833,5203,1.0
8834,5203,1.0
8835,5203,1.0
23934,22243,-1.0
31318,30596,-1.0
31319,30596,-1.0
31320,30596,-1.0
31321,30596,-1.0
33889,33412,1.0
33809,33412,1.0
34003,33412,-1.0
16032,13949,-1.0
3866,1369,-1.0
33865,33310,-1.0
28093,26740,1.0
28094,26740,1.0
27931,26443,-1.0
10326,6386,1.0
10327,6386,1.0
10328,6386,1.0
13108,9525,-1.0
31517,31903,1.0
31720,31903,1.0
32275,31903,1.0
1275,211,1.0
1276,211,1.0
24272,22721,-1.0
24273,22721,-1.0
12532,8846,-1.0
8374,4791,-1.0
6723,2908,1.0
6724,2908,1.0
6725,2908,1.0
6501,2908,1.0
6726,2908,1.0
6727,2908,1.0
6728,2908,-1.0
6729,2908,-1.0
25689,24178,1.0
25690,24178,-1.0
25691,24178,-1.0
3926,1430,1.0
8225,4634,1.0
8226,4634,1.0
8227,4634,-1.0
8228,4634,-1.0
8229,4634,-1.0
8230,4634,-1.0
8231,4634,-1.0
29984,29113,1.0
29985,29113,1.0
29986,29113,-1.0
29987,29113,-1.0
29988,29113,-1.0
29989,29113,-1.0
10979,6836,1.0
2442,558,1.0
31683,31335,-1.0
14069,10862,1.0
14070,10862,-1.0
28194,26936,-1.0
28955,27791,1.0
28956,27791,1.0
28957,27791,1.0
28958,27791,1.0
28959,27791,-1.0
28960,27791,-1.0
23249,21728,-1.0
30121,29377,-1.0
30122,29377,-1.0
30123,29377,-1.0
7566,3665,-1.0
7567,3665,-1.0
28758,27611,1.0
28759,27611,-1.0
28760,27611,-1.0
28761,27611,-1.0
22280,20681,-1.0
22281,20681,-1.0
33494,32998,-1.0
30540,29843,-1.0
26407,24764,1.0
27748,26144,-1.0
1568,348,1.0
1569,348,1.0
1570,348,-1.0
1520,348,-1.0
30424,29747,1.0
30425,29747,-1.0
21707,20110,1.0
21701,20110,1.0
21708,20110,-1.0
10140,6211,-1.0
22068,20475,1.0
22069,20475,-1.0
10415,6455,1.0
10416,6455,1.0
10417,6455,-1.0
11714,7865,1.0
12834,9152,1.0
12835,9152,-1.0
14652,12078,-1.0
22539,20951,-1.0
22724,21185,1.0
22725,21185,1.0
22726,21185,-1.0
11693,7828,1.0
23974,22292,-1.0
29070,27968,-1.0
20577,19035,-1.0
20578,19035,-1.0
18996,19035,-1.0
7863,4075,1.0
7864,4075,1.0
7865,4075,-1.0
21861,20342,1.0
21862,20342,1.0
21863,20342,1.0
21864,20342,1.0
21865,20342,1.0
21866,20342,1.0
21867,20342,-1.0
19760,18216,-1.0
