origin	n_nodes	n_edges	max(outdeg)	max(indeg)	avg(x.depth)	max(x.depth)	n_descriptions	avg(size(x.description))	avg(size(x.label))	max(size(x.label))	stdev(size(x.label))
"am-ch"	717	697	1	55	1.962343096234309	10	0	0.0	110.4490934449093	300	72.28094813685338
"am-en"	184	164	1	5	1.989130434782608	7	0	0.0	109.08695652173914	290	58.44854860817737
"am-es"	67	58	1	6	1.9402985074626862	6	0	0.0	116.46268656716416	296	80.51318889854252
"am-fr"	75	64	1	4	1.6133333333333333	5	0	0.0	130.23999999999998	293	75.55932696823002
"am-pl"	19	18	1	4	2.3684210526315788	6	0	0.0	101.52631578947368	258	64.69275111466219
"am-tr"	119	99	1	6	1.2436974789915958	4	0	0.0	137.52941176470586	298	87.97253264797202
"kl"	34503	37434	16	33	9.514419036025885	30	0	0.0	173.34678143929364	501	94.78113596216565
"wd"	2558	2673	7	132	2.221266614542611	6	790	206.40969507427678	58.26309616888194	217	29.99850039452564
