n1,n2,weight
699,672,1.0
578,377,1.0
310,20,-1.0
633,461,1.0
210,12,1.0
211,12,1.0
671,595,-0.5
535,321,-1.0
660,536,-0.5
703,687,1.0
547,344,-1.0
359,61,-0.5
640,485,1.0
568,320,-0.5
541,335,-0.5
563,335,-1.0
689,630,-1.0
540,327,-0.5
574,362,-1.0
677,603,-1.0
566,345,-0.5
480,231,-1.0
495,249,-0.5
478,227,-0.5
636,465,-1.0
561,357,-0.5
350,51,1.0
493,246,1.0
494,246,1.0
544,343,-0.5
501,253,1.0
425,141,1.0
515,272,-0.5
117,8,-0.5
111,8,-1.0
110,8,-0.5
106,8,-1.0
125,8,-0.5
112,8,-0.5
114,8,1.0
119,8,-0.5
141,8,-1.0
108,8,1.0
109,8,1.0
116,8,-0.5
118,8,-1.0
120,8,-1.0
121,8,-0.5
122,8,-0.5
123,8,1.0
124,8,1.0
126,8,-0.5
127,8,1.0
128,8,-1.0
129,8,-0.5
131,8,-0.5
132,8,-1.0
133,8,-1.0
134,8,-1.0
135,8,-0.5
136,8,-0.5
137,8,1.0
138,8,1.0
140,8,1.0
142,8,-1.0
143,8,-1.0
144,8,1.0
145,8,1.0
146,8,-1.0
147,8,-0.5
148,8,1.0
107,8,1.0
113,8,1.0
139,8,1.0
115,8,1.0
130,8,1.0
358,54,1.0
369,54,-1.0
370,54,-1.0
615,409,1.0
687,631,1.0
528,295,1.0
681,613,1.0
704,690,1.0
708,704,1.0
507,270,1.0
686,622,1.0
446,163,1.0
508,283,1.0
522,283,1.0
526,283,1.0
602,412,1.0
606,412,-0.5
406,106,1.0
283,18,-1.0
262,18,-0.5
267,18,-0.5
255,18,1.0
279,18,1.0
295,18,-1.0
296,18,-1.0
256,18,1.0
263,18,1.0
270,18,-0.5
272,18,1.0
273,18,-1.0
297,18,-1.0
257,18,1.0
258,18,-1.0
259,18,-1.0
260,18,-1.0
261,18,1.0
265,18,-1.0
268,18,1.0
269,18,-0.5
271,18,1.0
274,18,-0.5
275,18,1.0
277,18,1.0
278,18,1.0
280,18,-1.0
281,18,-0.5
282,18,1.0
284,18,-1.0
285,18,-1.0
286,18,-1.0
287,18,-0.5
288,18,-1.0
289,18,-1.0
290,18,1.0
291,18,-0.5
292,18,-1.0
293,18,-0.5
294,18,1.0
298,18,1.0
299,18,1.0
300,18,-0.5
301,18,-1.0
302,18,-1.0
303,18,-1.0
304,18,-0.5
305,18,1.0
306,18,1.0
307,18,-1.0
266,18,1.0
264,18,-1.0
276,18,-1.0
710,708,-0.5
414,110,1.0
363,46,1.0
371,46,1.0
553,322,-1.0
489,239,-1.0
472,213,1.0
644,503,1.0
312,24,1.0
564,353,-1.0
338,45,1.0
343,45,-1.0
348,45,1.0
357,45,-0.5
374,45,-1.0
206,11,-1.0
205,11,1.0
208,11,-1.0
209,11,-0.5
207,11,-0.5
70,5,1.0
71,5,-0.5
78,5,-1.0
72,5,1.0
73,5,-1.0
74,5,-1.0
75,5,1.0
76,5,1.0
77,5,1.0
79,5,-1.0
80,5,-1.0
81,5,1.0
82,5,1.0
83,5,-1.0
84,5,1.0
638,470,1.0
678,598,1.0
620,438,-0.5
658,562,-0.5
659,562,-0.5
513,262,1.0
504,262,1.0
519,262,1.0
702,684,-0.5
714,713,1.0
715,713,1.0
716,713,1.0
402,109,-0.5
614,424,-0.5
583,388,-1.0
467,206,1.0
466,206,1.0
468,206,1.0
161,9,-0.5
156,9,1.0
153,9,1.0
149,9,1.0
151,9,1.0
157,9,1.0
174,9,-0.5
150,9,-1.0
155,9,1.0
158,9,1.0
159,9,1.0
160,9,1.0
163,9,-1.0
162,9,1.0
164,9,-0.5
166,9,1.0
167,9,1.0
168,9,1.0
169,9,1.0
170,9,1.0
171,9,1.0
172,9,1.0
173,9,1.0
175,9,-0.5
176,9,1.0
177,9,1.0
178,9,1.0
179,9,1.0
180,9,-1.0
181,9,-0.5
182,9,1.0
183,9,-1.0
184,9,-0.5
185,9,1.0
186,9,1.0
187,9,1.0
188,9,1.0
189,9,1.0
190,9,-0.5
191,9,1.0
192,9,-0.5
193,9,1.0
194,9,1.0
195,9,1.0
196,9,1.0
197,9,-1.0
198,9,1.0
199,9,1.0
200,9,1.0
201,9,1.0
202,9,1.0
203,9,-0.5
152,9,-1.0
154,9,-1.0
165,9,-0.5
315,29,-1.0
579,381,1.0
580,381,-1.0
377,70,-0.5
379,70,1.0
378,70,1.0
382,89,-1.0
397,89,-1.0
512,273,1.0
407,107,-1.0
604,410,1.0
576,366,-1.0
539,336,1.0
555,336,1.0
442,174,1.0
386,85,-1.0
392,85,1.0
698,668,-1.0
253,17,-1.0
251,17,-1.0
252,17,1.0
254,17,-1.0
250,17,1.0
557,333,-0.5
670,593,-0.5
665,582,-1.0
385,87,1.0
666,588,1.0
437,154,-1.0
603,416,1.0
328,40,-1.0
352,40,-1.0
327,33,1.0
339,33,1.0
355,33,-0.5
365,33,1.0
321,33,1.0
705,691,1.0
552,326,-1.0
506,256,1.0
509,266,-1.0
356,53,-0.5
531,313,1.0
498,252,-1.0
625,441,1.0
588,390,-1.0
585,390,-1.0
587,390,-1.0
586,390,-1.0
376,57,-1.0
451,158,1.0
663,579,1.0
575,364,1.0
546,342,1.0
485,238,-1.0
490,238,1.0
324,35,1.0
322,35,1.0
706,695,-1.0
584,391,1.0
394,97,-1.0
570,355,-1.0
669,591,1.0
617,405,-1.0
596,405,1.0
403,112,1.0
